날짜,발전수요량,기온(°C)
2024-03-30,643397.5416666666,17.345833333333335
2024-03-31,657383.4583333334,14.483333333333334
2024-04-01,670021.875,14.983333333333334
2024-04-02,706423.25,16.087500000000002
2024-04-03,698035.625,16.395833333333332
2024-04-04,710779.5,14.345833333333333
2024-04-05,681072.6666666666,14.708333333333334
2024-04-06,671972.625,14.016666666666666
2024-04-07,636409.0416666666,15.104166666666666
2024-04-08,698483.5416666666,16.120833333333334
2024-04-09,670704.7083333334,15.450000000000001
2024-04-10,630195.125,14.804166666666667
2024-04-11,691124.9166666666,16.108333333333334
2024-04-12,661004.9166666666,16.545833333333334
2024-04-13,618901.625,18.0
2024-04-14,623392.0,18.904166666666665
2024-04-15,652997.7083333334,18.587500000000002
2024-04-16,640978.125,15.895833333333334
2024-04-17,679683.875,14.695833333333333
2024-04-18,654553.625,16.258333333333333
2024-04-19,658531.5833333334,17.2625
2024-04-20,658071.0,18.270833333333332
2024-04-21,646471.5,15.383333333333333
2024-04-22,675683.5833333334,16.458333333333332
2024-04-23,684044.5833333334,15.416666666666666
2024-04-24,645426.1666666666,16.129166666666666
2024-04-25,651311.7083333334,15.704166666666666
2024-04-26,657732.8333333334,16.570833333333333
2024-04-27,600340.375,18.533333333333335
2024-04-28,604944.7083333334,18.979166666666668
2024-04-29,668556.2083333334,18.1625
2024-04-30,636684.0833333334,16.599999999999998
2024-05-01,639060.625,15.408333333333333
2024-05-02,640428.5,15.9625
2024-05-03,637669.0833333334,16.92083333333333
2024-05-04,615717.5416666666,20.041666666666668
2024-05-05,639092.125,22.34166666666667
2024-05-06,598799.9583333334,18.1125
2024-05-07,621243.5833333334,17.783333333333335
2024-05-08,657315.625,15.041666666666666
2024-05-09,631842.5416666666,16.575
2024-05-10,624799.5833333334,17.066666666666666
2024-05-11,624934.125,19.933333333333334
2024-05-12,610967.3333333334,17.745833333333334
2024-05-13,617714.125,17.525000000000002
2024-05-14,622525.875,18.0
2024-05-15,607681.75,17.379166666666666
2024-05-16,617083.8333333334,18.604166666666668
2024-05-17,620441.25,20.333333333333332
2024-05-18,598390.6666666666,20.412499999999998
2024-05-19,589840.375,19.837500000000002
2024-05-20,628460.3333333334,21.5
2024-05-21,631032.7083333334,19.879166666666666
2024-05-22,638763.5833333334,19.8625
2024-05-23,630621.5416666666,20.2625
2024-05-24,626568.125,20.150000000000002
2024-05-25,596880.3333333334,20.962500000000002
2024-05-26,627854.75,21.7375
2024-05-27,631281.8333333334,20.708333333333332
2024-05-28,613479.4583333334,19.854166666666668
2024-05-29,627982.6666666666,19.758333333333333
2024-05-30,639084.0416666666,19.9375
2024-05-31,637440.1666666666,19.404166666666665
2024-06-01,595449.9583333334,19.85833333333333
2024-06-02,582453.2083333334,20.029166666666665
2024-06-03,622415.75,21.204166666666666
2024-06-04,622663.625,20.220833333333335
2024-06-05,635327.875,19.820833333333333
2024-06-06,622050.5,20.304166666666667
2024-06-07,639551.2916666666,22.27916666666667
2024-06-08,638863.9166666666,21.441666666666666
2024-06-09,612142.6666666666,21.358333333333334
2024-06-10,635740.6666666666,23.454166666666666
2024-06-11,653104.3333333334,21.770833333333332
2024-06-12,669107.75,22.104166666666668
2024-06-13,677414.6666666666,23.733333333333334
